ID,Location,Heading,Is_Formal,Statement_Type,Axiom_Count,Theorem_Count,Is_Technical,Conversational_Score,Has_Contradictions,Has_Ambiguity,Is_Definitive,Max_Severity,Concept_Density,Concepts,Aliases,Tags
GEN0-021,genesis-0/feynman-rules-interaction-vertices::if-you-want-the-full-diagram-set::you-said::chatgpt-said::b1,**ChatGPT said:**,False,,0,0,True,0.16,True,False,False,0.6,0,"→, IGSOA, δ, white-paper, flavor-mass",Bk629ah,conflicted
GEN0-022,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::0-principle-what-replaces-fundamental-yukawas::b1,**0\. Principle (what replaces “fundamental Yukawas”)**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, IGSOA, δ-mode spectral responses, background δ-condensate, adjacency-curvature",Bk942sq,
GEN0-023,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::1-fields-and-indices::b1,**1\. Fields and indices**,False,,0,0,True,0.0,False,False,True,0.0,0,"Ψ, δ, Meta-time, δ-stack, Φ",Bk356db,"definitive, low-uncertainty"
GEN0-024,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::2-δ-higgs-condensate::b1,**2\. δ-Higgs condensate**,False,,0,0,True,0.16,True,False,False,0.6,0,"δ, Theorem, symmetry-imposed, δ-spectrum, δ-field",Bk383at,"qualified, conflicted"
GEN0-025,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::3-flavor-mass-lagrangian-δ-native-yukawa::b1,**3\. Flavor-mass Lagrangian (δ-native Yukawa)**,False,,0,0,True,0.0,False,False,True,0.0,0,"Ψ, δ, IGSOA, μ, ∑",Bk359tm,"definitive, low-uncertainty"
GEN0-026,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::3-flavor-mass-lagrangian-δ-native-yukawa::factorization-into-spectrum-embedding::b1,**Factorization into spectrum × embedding**,False,,0,0,False,0.0,False,False,False,0.3,0,"IGSOA, scale-topos, pure adjacency overlap, derived objects",Bk101ie,
GEN0-027,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::4-mass-generation::b1,**4\. Mass generation**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, ∑, Ψ, IGSOA, δ-VEV",Bk903iv,
GEN0-028,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::5-flavor-mixing-ckm-pmns-as-δ-mode-interference::b1,**5\. Flavor mixing (CKM / PMNS as δ-mode interference)**,False,,0,0,True,0.0,True,False,False,0.6,0,"Ψ, geometric invariants of embedding, δ, ν, δ-spectrum",Bk444dd,conflicted
GEN0-029,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::6-physical-δ-higgs-particles::b1,**6\. Physical δ-Higgs particles**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, Ψ, δ-Higgs, tower of δ-Higgs resonances, ⊃",Bk462eh,"definitive, low-uncertainty"
GEN0-030,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::7-δ-higgs-flavor-vertices-feynman-rules::b1,**7\. δ-Higgs / flavor vertices (Feynman rules)**,False,,0,0,True,0.0,False,False,True,0.0,0,"Ψ, δ, ⊃, Ψj",Bk232fy,"definitive, low-uncertainty"
GEN0-031,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::7-δ-higgs-flavor-vertices-feynman-rules::a-δ-higgsfermionfermion::b1,**(A) δ-Higgs–fermion–fermion**,False,,0,0,True,0.0,False,False,True,0.0,0,"Ψ, δ",Bk219yd,"definitive, low-uncertainty"
GEN0-032,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::7-δ-higgs-flavor-vertices-feynman-rules::b-δ-higgs-exchange-gives-effective-4-fermion-flavor-changing::b1,**(B) δ-Higgs exchange gives effective 4-fermion flavor changing**,False,,0,0,True,0.0,True,False,False,0.6,0,"Ψ, IGSOA, δ, ∑, Tree-level",Bk902tl,conflicted
GEN0-033,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::8-what-this-sector-predicts-distinct-from-sm::b1,**8\. What this sector *predicts* (distinct from SM)**,False,,0,0,True,0.0,True,False,False,0.6,0,"Exotic generations are unavoidable if the δ-tower is complete, IGSOA, ≈, δ, Mixing angles correlate with mass gaps",Bk136ta,conflicted
GEN0-034,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::9-one-compact-δ-higgs-sector-box-for-your-paper::b1,**9\. One compact “δ-Higgs sector” box (for your paper)**,False,,0,0,True,0.16,False,False,True,0.0,0,"δ, Ψ, ∑, Definition, Theorem",Bk486yc,"definitive, low-uncertainty"
GEN0-035,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::9-one-compact-δ-higgs-sector-box-for-your-paper::you-said::b1,**You said:**,False,,0,0,True,0.0,False,False,True,0.0,0,"Meta-Einstein, δ-geometry, Curvature, Meta-Curvature, δ",Bk946gf,"definitive, low-uncertainty"
GEN0-036,genesis-0/feynman-rules-interaction-vertices::the-δ-higgs-flavor-mass-sector::9-one-compact-δ-higgs-sector-box-for-your-paper::you-said::chatgpt-said::b1,**ChatGPT said:**,False,,0,0,True,0.16,False,False,True,0.0,0,"Deviational Geometry, Meta-Einstein, δ-geometry, Tri-Unity, Deviation",Bk446bt,"definitive, low-uncertainty"
GEN0-037,genesis-0/feynman-rules-interaction-vertices::a-δ-geometry-formulation::0-core-idea::b1,**0\. Core idea**,False,,0,0,True,0.0,False,False,True,0.0,0,"Meta-Einstein, δ-geometry, δ, δ-structure, Φ",Bk688gr,"definitive, low-uncertainty"
GEN0-038,genesis-0/feynman-rules-interaction-vertices::1-δ-manifold-primary-structure::b1,**1\. δ-Manifold (primary structure)**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, δ-manifold",Bk500mt,qualified
GEN0-039,genesis-0/feynman-rules-interaction-vertices::1-δ-manifold-primary-structure::11-deviation-bundle::b1,**1.1. Deviation bundle**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, ∑, →, Scale-Topos, δ-mode",Bk198te,"definitive, low-uncertainty"
GEN0-040,genesis-0/feynman-rules-interaction-vertices::2-the-δ-connection-replaces-affine-connection::b1,**2\. The δ-Connection (replaces affine connection)**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, ∇, Γ, δ-connection, ∂",Bk869dt,
GEN0-041,genesis-0/feynman-rules-interaction-vertices::3-meta-curvature-δ-generated-curvature::b1,**3\. Meta-Curvature (δ-generated curvature)**,False,,0,0,True,0.16,False,False,False,0.3,0,"Γ, δ, Curvature, ∇, ∂",Bk226tc,
GEN0-042,genesis-0/feynman-rules-interaction-vertices::4-metric-emerges-as-a-δ-projection::b1,**4\. Metric emerges as a δ-projection**,False,,0,0,True,0.16,False,False,True,0.0,0,"δ, δ-geometry, ∇, δ-metric projection map, Theorem",Bk946dt,"definitive, low-uncertainty"
GEN0-043,genesis-0/feynman-rules-interaction-vertices::4-metric-emerges-as-a-δ-projection::the-δmetric-theorem::b1,**The δ→metric theorem**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, π, δ-structure",Bk720gd,
GEN0-044,genesis-0/feynman-rules-interaction-vertices::5-meta-ricci-meta-einstein-tensor::b1,**5\. Meta-Ricci & Meta-Einstein Tensor**,False,,0,0,True,0.16,False,False,True,0.0,0,"Meta-Einstein, geometric left-hand side, Meta-Einstein Tensor, β, ∑",Bk433ht,"definitive, low-uncertainty"
GEN0-045,genesis-0/feynman-rules-interaction-vertices::6-meta-einstein-equation-canonical-igsoa-form::b1,**6\. Meta-Einstein Equation (canonical IGSOA form)**,False,,0,0,True,0.16,False,False,True,0.0,0,"Meta-Time, δ, Φ, σ, π",Bk984gt,"definitive, low-uncertainty"
GEN0-046,genesis-0/feynman-rules-interaction-vertices::7-δ-energy-momentum-tensor::b1,**7\. δ-Energy-Momentum Tensor**,False,,0,0,True,0.16,False,False,True,0.0,0,"δ, ∇, ∫, δ-Lagrangian, fundamental energy budget",Bk654vt,"definitive, low-uncertainty"
GEN0-047,genesis-0/feynman-rules-interaction-vertices::8-adjacency-geometry::b1,**8\. Adjacency geometry**,False,,0,0,True,0.0,False,False,True,0.0,0,"Adjacency, δ, ∂, ∑, γ",Bk175am,"definitive, low-uncertainty"
GEN0-048,genesis-0/feynman-rules-interaction-vertices::9-meta-time-σ-geometry::b1,**9\. Meta-Time (σ-geometry)**,False,,0,0,True,0.0,False,False,True,0.0,0,"σ, ∂, Meta-Time, δ, η",Bk536dt,"definitive, low-uncertainty"
GEN0-049,genesis-0/feynman-rules-interaction-vertices::10-full-δ-geometry-axiom-box-for-the-foundations-volume::b1,**10\. Full δ-Geometry Axiom Box (for the Foundations Volume)**,False,,0,0,True,0.16,False,False,False,0.3,0,"δ, Meta-Time, Adjacency, δ-geometry, ∇",Bk402tp,
GEN0-050,genesis-0/feynman-rules-interaction-vertices::11-how-this-ties-into-your-δ-higgs-flavor-mass-sector::b1,**11\. How this ties into your δ-Higgs / flavor-mass sector**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, δ-geometry, adjacency-induced, δ-mode, δ-connection",Bk853mc,"definitive, low-uncertainty"
GEN0-051,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::b1,**If you want next:**,False,,0,0,False,0.16,False,False,True,0.0,0,,Bk197cg,"definitive, low-uncertainty"
GEN0-052,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::the-δ-standard-model-diagram-stack-box-format::b1,**✔ The “δ → Standard Model” diagram stack (box format)**,False,,0,0,False,0.0,False,False,True,0.0,0,,Bk541jt,"definitive, low-uncertainty"
GEN0-053,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::the-δ-standard-model-diagram-stack-box-format::you-said::b1,**You said:**,False,,0,0,True,0.0,False,False,True,0.0,0,"Theorem, Ψ, δ, δ-Higgs, →",Bk214wt,"definitive, low-uncertainty"
GEN0-054,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::the-δ-standard-model-diagram-stack-box-format::you-said::chatgpt-said::b1,**ChatGPT said:**,False,,0,0,True,0.16,False,False,True,0.0,0,"Meta-Genesis, Meta-Math, Deviational Geometry, Deviation, Theorem",Bk671bt,"definitive, low-uncertainty"
GEN0-055,genesis-0/feynman-rules-interaction-vertices::i-the-official-δ-higgs-potential::consistent-with-ψ₀-δψ₀-ψ₁-δ-geometry-and-meta-einstein::b1,"***(consistent with Ψ₀ → δΨ₀ \= Ψ₁, δ-geometry, and Meta-Einstein)***",False,,0,0,True,0.0,False,False,False,0.3,0,"δ, Meta-Genesis, ∇, Deviational Geometry, Deviation",Bk469bd,
GEN0-056,genesis-0/feynman-rules-interaction-vertices::ii-why-this-form-is-mandatory-derivation-from-the-ψ₀-ψ₁-stability-theorem::b1,**II. Why this form is mandatory (derivation from the Ψ₀ → Ψ₁ Stability Theorem)**,False,,0,0,True,0.0,False,False,False,0.3,0,"Ψ, δ, Theorem, Ψ₀, →",Bk897tt,
GEN0-057,genesis-0/feynman-rules-interaction-vertices::ii-why-this-form-is-mandatory-derivation-from-the-ψ₀-ψ₁-stability-theorem::a-condition-1-v0-ψ₀-baseline-energy-λδ::b1,**A. Condition 1: V(0) \= Ψ₀ baseline energy \= Λδ**,False,,0,0,True,0.0,False,False,False,0.3,0,"Λ, δ, degrees-of-freedom, Meta-Vacuum, Ψ",Bk968nz,
GEN0-058,genesis-0/feynman-rules-interaction-vertices::ii-why-this-form-is-mandatory-derivation-from-the-ψ₀-ψ₁-stability-theorem::b-condition-2-vδ-must-have-a-nonzero-stable-minimum::b1,**B. Condition 2: V(δ) must have a nonzero stable minimum**,False,,0,0,True,0.0,True,False,False,0.7,0,"δ, μ, Theorem, negative δ-mass term, Λ",Bk156tu,conflicted
GEN0-059,genesis-0/feynman-rules-interaction-vertices::ii-why-this-form-is-mandatory-derivation-from-the-ψ₀-ψ₁-stability-theorem::c-condition-3-self-stabilization-requires-a-quartic-gradient-corrections::b1,**C. Condition 3: Self-stabilization → requires a quartic \+ gradient corrections**,False,,0,0,True,0.16,False,False,False,0.3,0,"δ, Meta-Time, λ, symmetry-breaking, μ",Bk359pr,
GEN0-060,genesis-0/feynman-rules-interaction-vertices::ii-why-this-form-is-mandatory-derivation-from-the-ψ₀-ψ₁-stability-theorem::d-condition-4-the-deviational-geometry-terms::b1,**D. Condition 4: The Deviational Geometry Terms**,False,,0,0,True,0.0,True,False,False,0.6,0,"δ, Meta-Einstein, ∇, connection to the Meta-Einstein tensor, Meta-curvature self-reinforcement",Bk993yc,conflicted
GEN0-061,genesis-0/feynman-rules-interaction-vertices::ii-why-this-form-is-mandatory-derivation-from-the-ψ₀-ψ₁-stability-theorem::e-condition-5-adjacency-functional-aδmathcal-adeltaaδ::b1,**E. Condition 5: Adjacency functional A\[δ\]\\mathcal A\[\\delta\]A\[δ\]**,False,,0,0,True,0.0,True,True,False,0.6,0,"δ, ∂, Ψ, ∑, topology-free",Bk655ha,"conflicted, ambiguous"
GEN0-062,genesis-0/feynman-rules-interaction-vertices::iii-what-the-δ-higgs-potential-predicts::b1,**III. What the δ-Higgs Potential Predicts**,False,,0,0,True,0.16,False,True,False,0.5,0,"δ, π, μ, δ-boson spectrum, δ-curvature",Bk301nv,ambiguous
GEN0-063,genesis-0/feynman-rules-interaction-vertices::iv-drop-in-δ-higgs-sector-axiom-box::b1,**IV. Drop-in “δ-Higgs Sector Axiom Box”**,False,,0,0,True,0.16,False,False,False,0.3,0,"δ, Meta-Einstein, Meta-Time, Deviational Geometry, Deviation",Bk607bb,
GEN0-064,genesis-0/feynman-rules-interaction-vertices::iv-drop-in-δ-higgs-sector-axiom-box::a-visual-diagram-of-the-ψ₀-ψ₁-spacetime-flow::b1,**✔ A visual diagram of the Ψ₀ → Ψ₁ → spacetime flow**,False,,0,0,False,0.0,False,False,True,0.0,0,,Bk271tw,"definitive, low-uncertainty"
GEN0-065,genesis-0/feynman-rules-interaction-vertices::iv-drop-in-δ-higgs-sector-axiom-box::a-visual-diagram-of-the-ψ₀-ψ₁-spacetime-flow::you-said::b1,**You said:**,False,,0,0,False,0.0,False,False,True,0.0,0,,Bk472dt,"definitive, low-uncertainty"
GEN0-066,genesis-0/feynman-rules-interaction-vertices::iv-drop-in-δ-higgs-sector-axiom-box::a-visual-diagram-of-the-ψ₀-ψ₁-spacetime-flow::you-said::chatgpt-said::b1,**ChatGPT said:**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ-geometry, IGSOA, mass-hierarchy, δ, family mass ratios",Bk859bt,
GEN0-067,genesis-0/feynman-rules-interaction-vertices::i-starting-point-δ-higgs-mass-formula::b1,**I. Starting point: δ-Higgs mass formula**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, ∑, Ψ, flavor-mixing, fractal spectral weight",Bk159ft,"definitive, low-uncertainty"
GEN0-068,genesis-0/feynman-rules-interaction-vertices::ii-shell-structure-why-2-8-18-32::b1,"**II. Shell structure: why 2, 8, 18, 32?**",False,,0,0,True,0.16,True,False,False,0.6,0,"δ, δ-geometry, the shell capacities of δ-Higgs eigenmodes, IGSOA, →",Bk709yo,conflicted
GEN0-069,genesis-0/feynman-rules-interaction-vertices::iii-mass-scaling-law-from-δ-shell-population::b1,**III. Mass scaling law from δ-shell population**,False,,0,0,True,0.0,True,False,False,0.6,0,"→, leading-order scaling, ∈, ∑, mass-generation",Bk130td,conflicted
GEN0-070,genesis-0/feynman-rules-interaction-vertices::iv-convert-shell-capacities-into-flavor-masses::b1,**IV. Convert shell capacities into flavor masses**,False,,0,0,True,0.0,True,False,False,0.6,0,"Ψ, IGSOA, ≈, sector-dependent, δ",Bk624dp,conflicted
GEN0-071,genesis-0/feynman-rules-interaction-vertices::v-why-the-ratios-arent-exact-integers-in-physics::b1,**V. Why the ratios aren’t exact integers in physics**,False,,0,0,True,0.16,False,False,True,0.0,0,"Adjacency, IGSOA, topology-induced mode suppression, δ-Higgs mixing between shells, →",Bk919am,"definitive, low-uncertainty"
GEN0-072,genesis-0/feynman-rules-interaction-vertices::vi-clean-mass-hierarchy-theorem-drop-into-the-book::b1,**VI. Clean Mass Hierarchy Theorem (drop into the book)**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ-shell hierarchy, ∑, Ψ, ∈, physical flavor hierarchy",Bk870dw,"definitive, low-uncertainty"
GEN0-073,genesis-0/feynman-rules-interaction-vertices::vii-final-interpretation-to-put-in-introduction::b1,**VII. Final interpretation (to put in Introduction)**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, the δ-degeneracy sequence, adjacency overlap between shells, δ-degeneracy, δ-shells",Bk016fa,"definitive, low-uncertainty"
GEN0-074,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::b2,**If you want next:**,False,,0,0,False,0.16,False,False,True,0.0,0,,Bk221cn,"definitive, low-uncertainty"
GEN0-075,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::a-chapter-the-spectral-origin-of-the-standard-model-families::b1,**✔ A chapter: “The Spectral Origin of the Standard Model Families”**,False,,0,0,False,0.0,False,False,True,0.0,0,,Bk161tw,"definitive, low-uncertainty"
GEN0-076,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::a-chapter-the-spectral-origin-of-the-standard-model-families::you-said::b1,**You said:**,False,,0,0,True,0.0,False,False,True,0.0,0,"Theorem, δ-Ricci, δ, →",Bk812tr,"definitive, low-uncertainty"
GEN0-077,genesis-0/feynman-rules-interaction-vertices::if-you-want-next::a-chapter-the-spectral-origin-of-the-standard-model-families::you-said::chatgpt-said::b1,**ChatGPT said:**,False,,0,0,True,0.16,False,False,False,0.3,0,"Meta-Einstein, Tri-Unity, Projection, Theorem, IGSOA",Bk032bt,
GEN0-078,genesis-0/feynman-rules-interaction-vertices::the-δ-ricci-einstein-projection-theorem::how-deviational-geometry-induces-classical-spacetime-curvature::b1,***How Deviational Geometry induces classical spacetime curvature***,False,,0,0,False,0.0,False,False,True,0.0,0,,Bk081cb,"definitive, low-uncertainty"
GEN0-079,genesis-0/feynman-rules-interaction-vertices::0-context::b1,**0\. Context**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, ∇, Deviational Geometry, Deviation, Curvature",Bk066dg,
GEN0-080,genesis-0/feynman-rules-interaction-vertices::1-projection-map-π::b1,**1\. Projection Map π**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, π, ⊗, ∇, β",Bk081dt,"definitive, low-uncertainty"
GEN0-081,genesis-0/feynman-rules-interaction-vertices::2-statement-of-theorem::the-δ-ricci-einstein-projection-theorem::b1,***(The δ-Ricci → Einstein Projection Theorem)***,False,,0,0,True,0.0,False,False,True,0.0,0,"Deviation, π, δ, δ-Einstein, δ-Ricci",Bk275rr,"definitive, low-uncertainty"
GEN0-082,genesis-0/feynman-rules-interaction-vertices::3-proof-sketch-igsoa-formal::b1,**3\. Proof Sketch (IGSOA formal)**,False,,0,0,False,0.0,False,False,True,0.0,0,,Bk081cb,"definitive, low-uncertainty"
GEN0-083,genesis-0/feynman-rules-interaction-vertices::3-proof-sketch-igsoa-formal::step-1-δ-curvature-identity::b1,**Step 1\. δ-curvature identity**,False,,0,0,True,0.16,False,False,True,0.0,0,"δ, ∇, α, changes in δ-connection encode all changes in metric, ∑",Bk036dr,"definitive, low-uncertainty"
GEN0-084,genesis-0/feynman-rules-interaction-vertices::3-proof-sketch-igsoa-formal::step-2-constructing-the-riemann-tensor-from-δ-curvature::b1,**Step 2\. Constructing the Riemann tensor from δ-curvature**,False,,0,0,True,0.16,False,False,True,0.0,0,"δ, ∇, Axiom, δ-connection, π",Bk500dt,"definitive, low-uncertainty"
GEN0-085,genesis-0/feynman-rules-interaction-vertices::3-proof-sketch-igsoa-formal::step-3-contraction-yields-ricci::b1,**Step 3\. Contraction yields Ricci**,False,,0,0,True,0.0,False,False,True,0.0,0,"π, ∑, α, β",Bk781cg,"definitive, low-uncertainty"
GEN0-086,genesis-0/feynman-rules-interaction-vertices::3-proof-sketch-igsoa-formal::step-4-einstein-tensor-emerges-automatically::b1,**Step 4: Einstein tensor emerges automatically**,False,,0,0,True,0.0,False,False,True,0.0,0,"Meta-Einstein, π, δ, δ-Einstein, δ-scalar",Bk903ds,"definitive, low-uncertainty"
GEN0-087,genesis-0/feynman-rules-interaction-vertices::4-geometric-interpretation-for-your-narrative-chapters::b1,**4\. Geometric Interpretation (for your narrative chapters)**,False,,0,0,True,0.16,False,False,True,0.0,0,"δ-curvature, δ, π, T-manifold, D-bundle",Bk248cl,"definitive, low-uncertainty"
GEN0-088,genesis-0/feynman-rules-interaction-vertices::5-physical-interpretation-for-the-physics-volumes::b1,**5\. Physical Interpretation (for the physics volumes)**,False,,0,0,True,0.0,False,False,True,0.0,0,"Deviation, δ, δ-curvature, true gravitational field, δ-Higgs",Bk677ct,"definitive, low-uncertainty"
GEN0-089,genesis-0/feynman-rules-interaction-vertices::6-boxed-axiomtheorem-pair-drop-in-format::axiom-δ-projection-axiom::b1,**Axiom (δ-Projection Axiom)**,False,,0,0,True,0.0,False,False,True,0.0,0,"π, δ, ⊗, →, δa",Bk219te,"definitive, low-uncertainty"
GEN0-090,genesis-0/feynman-rules-interaction-vertices::6-boxed-axiomtheorem-pair-drop-in-format::theorem-δ-ricci-einstein-projection-theorem::b1,**Theorem (δ-Ricci → Einstein Projection Theorem)**,False,,0,0,True,0.0,False,False,True,0.0,0,"Deviational Geometry, Deviation, π, General Relativity",Bk515rr,"definitive, low-uncertainty"
